Branch Code,GSTIN,Branch Address
435,3XXXXXXXXXXXXXR,"Unit 3, Block-A, 5th Floor, Electronics Technology Park,
											SEZ-1, Technopark Campus Kariyavattom PO ,
											TRIVANDRUM,KERALA,695581"
173,1XXXXXXXXXXXXXI,"STP-II, WEBEL,PLOT-53,,BLOCK-DN,,
											SECTOR-V, SALT LAKE, KOLKATA, ,
											KOLKATA,WEST BENGAL,700091"
390,1XXXXXXXXXXXXXG,"DLF IT/ITES SEZ,PLOT II/I,BLOCK-IIF,
											F,ACTION AREA-II,TOWNSHIP,RAJARHAT, ,
											KOLKATA,WEST BENGAL,700156"
268,2XXXXXXXXXXXXXK,"GR,5TH,6TH,7TH& 8TH FLRS,B WING KENSINGTON,,
											FESTUS PROPERTIES PVT. LTD SEZ HIRANANDANI BUSINESS PARK ,
											POWAI,MAHARASHTRA,400076"
282,2XXXXXXXXXXXXXH,"Unit X , SY.42/4A, Plot No.13-1, Think Campus Phase III,,
											Begur Hobli, Electronic City, ,
											BANGALORE,KARNATAKA,560100"
341,0XXXXXXXXXXXXXN,"2ND & 3RD FLR. HERALD HOUSE, 5A,,,
											BAHADUR SHAH ZAFAR MARG, ,
											NEW DELHI,DELHI,110002"
417,2XXXXXXXXXXXXXR,"UNIT 01, 02, 03 AND 04, 8TH FLOOR,,
											GIFT TWO BUILDING, VILLAGE RATANPUR, ,
											VILLAGE RATANPUR,GUJARAT,382465"
251,0XXXXXXXXXXXXXN,"KHASARA NOS. 37/11 MIN, 37/28 MIN, 37/12/2 MIN,,
											37/11 0-6 AND 37/12/2 1-BHD R H P PUMP ,
											VILLAGE KAPASHERA,DELHI,110037"
300,3XXXXXXXXXXXXXT,"CO-DEVELOPER, ETP SEZ-1, TECHNOPARK CAMPUS,,
											KARIAVATTOM P.O. THIRUVANANTHAPURAM, ,
											THIRUVANANTHAPURAM,KERALA,695581"
294,0XXXXXXXXXXXXXO,"4TH FLOOR, TOWER-A, DLF BUILDING NO. 6,,
											DLF CYBER CITY, DLF SEZ, GG-VI, ,
											GURGAON,HARYANA,122002"
232,2XXXXXXXXXXXXXH,"UNIT 9 SY, NO 42P & 45P KONAPPANA AGRAHARA,,
											ELECTRONICS CITY PHASE-II ,
											BANGALORE,KARNATAKA,560100"
355,0XXXXXXXXXXXXXO,"5TH FLR, TOWER-B, BLDG. NO.6, SEC-24 & 25A,,
											DLF CYBER CITY, GURGAON, HARYANA ,
											GURGAON,HARYANA,122002"
399,2XXXXXXXXXXXXXL,"HIRANANDANI ESTATE, PATLIPADA,,OLYMPUS,,
											PLOT NO C, VILLAGE KAVESAR, THANE WEST, ,
											THANE WEST,MAHARASHTRA,400607"
52,2XXXXXXXXXXXXXK,"UNIT 129-B, SDF V,,,
											SEEPZ ANDHERI EAST, ,
											ANDHERI EAST,MAHARASHTRA,400096"
45,2XXXXXXXXXXXXXL,"MAKER TOWERS E BLOCK,,
											11TH FLOOR,,CUFFE PARADE, COLABA, ,
											MUMBAI,MAHARASHTRA,400005"
356,0XXXXXXXXXXXXXJ,"3RD AND 4TH FLR., BLDG.N O.2, VATIKA,BUSINESS PARK,,
											SOHNA ROAD, GURGAON, ,
											GURGAON,HARYANA,122018"
46,2XXXXXXXXXXXXXL,"VIDYASAGAR BUILDING, 1ST FLOOR,,,
											RAHEJA TOWNSHIP, NEAR SAIBABA MANDIR  MALAD EAST, ,
											MUMBAI,MAHARASHTRA,400097"
185,2XXXXXXXXXXXXXL,"NYATI TIARA, S.NO. 103/A-1/129,,
											CTS 1995, NAGAR ROAD, YERWADA, ,
											PUNE,MAHARASHTRA,411006"
308,2XXXXXXXXXXXXXL,"GROUND,1ST,2ND AND 3RD FLOORS,,
											MILENNIUM BUSINESS PARK BLDG-4/303,MAHAPE ,
											NAVI MUMBAI,MAHARASHTRA,400701"
396,1XXXXXXXXXXXXXI,"PLOT NO - 54 PART & 55, SECTOR-V,,
											BLOCK DN, SALTLAKE, BIDHANNAGAR, ,
											KOLKATA WEST BENGAL,WEST BENGAL,700091"
423,3XXXXXXXXXXXXXL,"8TH, PART OF 10TH,12TH,13TH,14TH FLRS, NANAKRAMGUDA,,
											SERILINGAMPALLY MANDAL RANGA REDDY DISTRICT ,
											TELANGANA,TELANGANA,500032"
322,2XXXXXXXXXXXXXV,"UNIT-1, KALINGA PARK, IT/ITES, SEZ,35, CHANDAKA INDL. EST,,
											CHANDRASEKHARPUR ,
											BHUBANESWAR ORRISA,ODISHA,751024"
315,3XXXXXXXXXXXXXR,"1, HABIBULLAH,ROAD,,
											CHENNAI, TAMIL NADU ,
											CHENNAI,TAMIL NADU,600017"
353,2XXXXXXXXXXXXXH,"PRESTIGE SHANTINIKETAN, CRESCENT-3,,
											GRP TO 3RD FLR, KRISHNA-RAJAPURAM ,
											HOBLI BANGALORE,KARNATAKA,560066"
301,1XXXXXXXXXXXXXG,"IT/ITES SEZ,BLOCK B,TOWER B-II,,
											GRTO,-5TH FLR. PLOT NO. DH1, DH2, DH3, DH3 ,
											ACTION AREA,WEST BENGAL,700156"
182,3XXXXXXXXXXXXXU,"VISMAYA BUILDING, 5TH & 7TH FLOOR,,
											INFOPARK, KUSUMAGIRI, KAKKANAD P. O. KOCHI, ,
											KOCHI,KERALA,682030"
291,2XXXXXXXXXXXXXK,"MIHAN,, SPECIAL ECONOMIC ZONE,,
											NAGPUR, ,
											NAGPUR,MAHARASHTRA,441108"
189,3XXXXXXXXXXXXXQ,"PLOT NO. 1/G1, C35 TO C44,,
											SIPCOT IT,PARK,NAVALUR POST, ,
											SIRUSERI,TAMIL NADU,603103"
370,2XXXXXXXXXXXXXL,"BHALE ESTATE, WAKDEWADI,15-A-1,,
											MUMBAI PUNE RD, OPP. BAJAJ SHOWROOM, ,
											PUNE,MAHARASHTRA,411003"
238,2XXXXXXXXXXXXXL,"TCS HOUSE, NR. STERLING CINEMA,,
											FORT, MUMBAI, ,
											MUMBAI,MAHARASHTRA,400001"
389,3XXXXXXXXXXXXXL,"SEZ UNIT V, ODC-5, SYNERGY PARK, SURVEY NO.26,,
											GACHIBOWLI, HYDERABAD, TELANGANA ,
											HYDERABAD,TELANGANA,500032"
351,2XXXXXXXXXXXXXL,"CEREBRUM IT PARK,7TH FLR.,BLDG.B-3,,S.NO.13/B,,
											1,2,3 & S.NO.14 PART,VADGAON SHERI ,
											PUNE,MAHARASHTRA,411014"
236,2XXXXXXXXXXXXXL,"QUADRA II, S.NO.239, OPP.MAGARPATTA CITY,,
											HADAPSAR, ,
											PUNE,MAHARASHTRA,411028"
418,3XXXXXXXXXXXXXU,"VISMAYA BUILDING, 6TH FLR INFOPARK,,
											KUSUMAGIRI KAKKANAD P O KOCHI, ,
											KOCHI,KERALA,682030"
163,2XXXXXXXXXXXXXL,"BLDG. NO.5, RAHEJA GREEN,,
											GREEN ACRES, VILLAGE KANHERI, BORIVILI EAST ,
											MUMBAI,MAHARASHTRA,400066"
283,3XXXXXXXXXXXXXP,"TCSL, SIRUSERI SEZ UNIT II, PLOT 1,G1,,
											SIPCOT IT PARK NAVALUR POST SIUSERI ,
											KANCHEEPURAM,TAMIL NADU,603103"
241,3XXXXXXXXXXXXXL,"SYNERGY PARK PREMISES NO. 2-56/1/36, SUR. NO 26,,
											GACHIBOWLI, SERILINGAMPALLY MANDAL R R DIST ,
											TELANGANA HYDEREBAD,TELANGANA,500032"
314,2XXXXXXXXXXXXXL,"11TH FLOOR, AIR INDIA BLDG,,,
											NARIMAN POINT, ,
											MUMBAI,MAHARASHTRA,400021"
278,2XXXXXXXXXXXXXQ,"SEZ DEVELOPER, GARIMA PARK, IT/ITES SEZ,,
											PLOT NO. 41, GANDHINAGAR ,
											GANDHINAGAR,GUJARAT,382007"
348,0XXXXXXXXXXXXXJ,"GR TO 8TH FLR, BLDG NO 1 & 2, NH-8,,,
											SKYVIEW CORPORATE PARK, SEC-74/A, ,
											GURGAON,HARYANA,122004"
394,3XXXXXXXXXXXXXJ,"1ST FLOORS, DOOR NO.49-24-12, ALLIPURAM WARD,,
											SANKAR MATT MAIN RD, VISAKHAPATNAM, ,
											VISAKHAPATNAM,ANDHRA PRADESH,530016"
274,2XXXXXXXXXXXXXK,"9TH,10TH,11TH,12TH & 13TH FLR B WNG,KENSINGTON,,
											FESTUS PROPERTIES PVTLTD SEZ HIRANANDANI BUSINESS PARK ,
											POWAI,MAHARASHTRA,400076"
342,3XXXXXXXXXXXXXR,"UNIT 1, BLOCK-A, PODIUM FLR.,1ST TO,4TH FLR,
											Electronics Technology Park SEZ-1, Technopark Campus, ,
											Kariyavattom PO,,KERALA,695581"
383,1XXXXXXXXXXXXXI,"SDF BLDG,MODULE 219-221,,
											BLOCK GP, ,
											SALT LAKE CITY,WEST BENGAL,700091"
410,2XXXXXXXXXXXXXK,"GR,1ST, 2ND FLR UNIT 1,PLOT 18, MIDC SEZ,,
											CYPRESS BLDG, ASCENDAS RAJIV GANDHI IT PARK,  PHASE III ,
											HINJEWADI,MAHARASHTRA,411057"
416,2XXXXXXXXXXXXXL,"S NO 113 2A, ASHOKA BUSINESS ENCLAVE,,
											3RD FLR INDIRANAGAR, WADALA ROAD WADALA SHIWAR ,
											NASHIK,MAHARASHTRA,422006"
405,2XXXXXXXXXXXXXH,"BRIGADE BHUWALKA ICON, OLD KHATA 70, ITPL RD, WARD 82,,
											SY NO 84/1 AND 84/ SADARAMANGALA VILLAGE MAHADEVAPURA ZONE ,
											BANGALORE E,KARNATAKA,560066"
280,3XXXXXXXXXXXXXL,"5TH TO 9TH FLOOR, SOUTH TOWER BAR BUILDING,,
											SUR. NO. 115 PART NANAKRAMGUDA SERLLINGAMPALLY MANDAL ,
											TELANGANA,TELANGANA,500008"
401,2XXXXXXXXXXXXXL,"GR, 1ST TO 4TH FLRS, AURUM IT PARK,,,
											SURVEY NO 16,CTS NO 26A, TAL KURLA ,
											POWAI,MAHARASHTRA,400076"
427,2XXXXXXXXXXXXXV,"UNIT-III PLOT 35 CHANDAKA INDL EST,HIRAKUD SEZ,
											PATIA CHANDRASEKHARPUR BHUBANESWAR ,
											CHANDRASEKHARPUR BHUBANESWAR,ODISHA,751024"
239,0XXXXXXXXXXXXXJ,"PLOT NO. T.C./G-1/1, VIBHUTI KHAND,,
											GOMTI NAGAR, LUCKNOW, ,
											LUCKNOW,UTTAR PRADESH,226010"
402,2XXXXXXXXXXXXXG,"9TH FLR, CAMPUS 4AB, RMZ ECO WORLD, SEZ,,
											SARJAPUR, MARATHAHALLI RING RD, VARTHUR HOBLI ,
											BANGALORE,KARNATAKA,560013"
43,2XXXXXXXXXXXXXL,"PARK WEST II, RAHEJA ESTATE,,,
											KULUPWADI ROAD, BORIVLI EAST, ,
											MUMBAI,MAHARASHTRA,400066"
49,2XXXXXXXXXXXXXL,"NIRMAL BUILDING, 9TH FLOOR,,
											NARIMAN  POINT, ,
											MUMBAI,MAHARASHTRA,400021"
260,0XXXXXXXXXXXXXO,"3RD & 11TH FLOOR, TOWER-B,& 2ND TO, 4TH & 11TH FLR,,
											TOWER-C,DLF BLDG NO 6 DLF CYBER CITY ,
											DLF CYBER CITY,HARYANA,122002"
162,3XXXXXXXXXXXXXR,"TIDEL PARK, 11TH FLR, A-BLOCK,,
											NO. 4, CANAL BANK ROAD, TARAMANI, ,
											CHENNAI,TAMIL NADU,600113"
